"idgames","critic_score","global_sales"
7204,43.0,0.11
7390,43.0,0.1
7424,43.0,0.1
7504,43.0,0.09
7617,43.0,0.09
7653,43.0,0.09
7690,43.0,0.09
7775,43.0,0.08
7900,43.0,0.08
7935,43.0,0.08
8518,43.0,0.06
8654,43.0,0.05
8677,43.0,0.05
8718,43.0,0.05
8849,43.0,0.05
9034,43.0,0.04
9045,43.0,0.04
9060,43.0,0.04
9067,43.0,0.04
9464,43.0,0.03
9585,43.0,0.03
9881,43.0,0.02
9978,43.0,0.02
10229,43.0,0.01
801,44.0,2.08
1065,44.0,1.66
1657,44.0,1.05
1758,44.0,0.98
2537,44.0,0.63
2673,44.0,0.59
2697,44.0,0.59
3079,44.0,0.5
3370,44.0,0.44
3713,44.0,0.39
4073,44.0,0.33
4157,44.0,0.32
4752,44.0,0.26
5684,44.0,0.19
5753,44.0,0.18
5851,44.0,0.18
5874,44.0,0.17
6013,44.0,0.17
6156,44.0,0.16
6196,44.0,0.15
6399,44.0,0.14
6512,44.0,0.14
6607,44.0,0.13
6874,44.0,0.12
7017,44.0,0.11
7056,44.0,0.11
7189,44.0,0.11
7493,44.0,0.1
7556,44.0,0.09
7601,44.0,0.09
7643,44.0,0.09
7862,44.0,0.08
8126,44.0,0.07
8127,44.0,0.07
8180,44.0,0.07
8181,44.0,0.07
8336,44.0,0.06
8520,44.0,0.06
8527,44.0,0.06
8565,44.0,0.06
8573,44.0,0.06
8835,44.0,0.05
8865,44.0,0.05
9153,44.0,0.04
9220,44.0,0.04
9243,44.0,0.04
9523,44.0,0.03
9536,44.0,0.03
10105,44.0,0.02
10253,44.0,0.01
1510,45.0,1.16
2098,45.0,0.8
2172,45.0,0.77
2634,45.0,0.6
2759,45.0,0.57
3278,45.0,0.46
3444,45.0,0.43
3524,45.0,0.42
3929,45.0,0.36
4025,45.0,0.34
4139,45.0,0.33
4196,45.0,0.32
4350,45.0,0.3
4460,45.0,0.29
4697,45.0,0.27
5458,45.0,0.2
5792,45.0,0.18
5991,45.0,0.17
6064,45.0,0.16
6483,45.0,0.14
6762,45.0,0.13
6892,45.0,0.12
6952,45.0,0.12
7001,45.0,0.11
7019,45.0,0.11
7174,45.0,0.11
7249,45.0,0.11
7597,45.0,0.09
7623,45.0,0.09
7628,45.0,0.09
7715,45.0,0.09
7754,45.0,0.09
7814,45.0,0.08
8368,45.0,0.06
8378,45.0,0.06
8569,45.0,0.06
8876,45.0,0.05
9095,45.0,0.04
9256,45.0,0.04
9368,45.0,0.03
9574,45.0,0.03
9607,45.0,0.03
9658,45.0,0.03
9735,45.0,0.02
10018,45.0,0.02
10025,45.0,0.02
10165,45.0,0.01
1676,46.0,1.04
2173,46.0,0.77
2321,46.0,0.71
2572,46.0,0.62
2614,46.0,0.61
2925,46.0,0.53
2987,46.0,0.52
3248,46.0,0.47
3314,46.0,0.45
3479,46.0,0.43
3550,46.0,0.42
3553,46.0,0.41
4299,46.0,0.31
4352,46.0,0.3
4369,46.0,0.3
4536,46.0,0.28
4700,46.0,0.26
4703,46.0,0.26
4791,46.0,0.26
4811,46.0,0.25
5002,46.0,0.24
5028,46.0,0.24
5205,46.0,0.22
5279,46.0,0.21
5572,46.0,0.19
5954,46.0,0.17
6521,46.0,0.14
6822,46.0,0.12
7234,46.0,0.11
7426,46.0,0.1
7519,46.0,0.09
7561,46.0,0.09
7568,46.0,0.09
7594,46.0,0.09
7642,46.0,0.09
7660,46.0,0.09
7847,46.0,0.08
7907,46.0,0.08
7942,46.0,0.08
8050,46.0,0.08
8153,46.0,0.07
8739,46.0,0.05
8744,46.0,0.05
8831,46.0,0.05
8914,46.0,0.05
8929,46.0,0.05
8999,46.0,0.04
9094,46.0,0.04
9293,46.0,0.04
9490,46.0,0.03
9563,46.0,0.03
9620,46.0,0.03
9794,46.0,0.02
9941,46.0,0.02
9963,46.0,0.02
10338,46.0,0.01
984,47.0,1.77
1595,47.0,1.09
1616,47.0,1.07
1830,47.0,0.94
2474,47.0,0.65
2827,47.0,0.56
2848,47.0,0.55
2882,47.0,0.54
2915,47.0,0.54
2966,47.0,0.53
3029,47.0,0.51
3071,47.0,0.5
3372,47.0,0.44
3457,47.0,0.43
3509,47.0,0.42
3760,47.0,0.38
4046,47.0,0.34
4116,47.0,0.33
4454,47.0,0.29
4694,47.0,0.27
4783,47.0,0.26
5022,47.0,0.24
5061,47.0,0.23
5191,47.0,0.22
5199,47.0,0.22
5262,47.0,0.21
5284,47.0,0.21
5335,47.0,0.21
5515,47.0,0.2
5647,47.0,0.19
5756,47.0,0.18
5828,47.0,0.18
5951,47.0,0.17
6045,47.0,0.16
6084,47.0,0.16
6266,47.0,0.15
6426,47.0,0.14
6543,47.0,0.14
6752,47.0,0.13
6846,47.0,0.12
6850,47.0,0.12
7190,47.0,0.11
7263,47.0,0.1
7425,47.0,0.1
7800,47.0,0.08
7837,47.0,0.08
8077,47.0,0.07
8087,47.0,0.07
8145,47.0,0.07
8176,47.0,0.07
8198,47.0,0.07
8213,47.0,0.07
8310,47.0,0.07
8420,47.0,0.06
8444,47.0,0.06
8575,47.0,0.06
8961,47.0,0.05
9055,47.0,0.04
9116,47.0,0.04
9145,47.0,0.04
9179,47.0,0.04
9470,47.0,0.03
9543,47.0,0.03
9587,47.0,0.03
9723,47.0,0.02
9862,47.0,0.02
840,48.0,2.03
1705,48.0,1.02
1870,48.0,0.92
1963,48.0,0.87
2113,48.0,0.79
2155,48.0,0.77
2320,48.0,0.71
2578,48.0,0.62
2589,48.0,0.61
2698,48.0,0.59
3240,48.0,0.47
3885,48.0,0.36
3958,48.0,0.35
3973,48.0,0.35
4347,48.0,0.3
4382,48.0,0.3
4486,48.0,0.28
4847,48.0,0.25
4934,48.0,0.24
5084,48.0,0.23
5390,48.0,0.21
5744,48.0,0.18
5769,48.0,0.18
5817,48.0,0.18
5937,48.0,0.17
5957,48.0,0.17
6189,48.0,0.15
6190,48.0,0.15
6494,48.0,0.14
6568,48.0,0.13
6663,48.0,0.13
