"idgames","user_score","global_sales"
5533,4.4,0.19
5614,4.4,0.19
5686,4.4,0.19
5702,4.4,0.18
5763,4.4,0.18
5786,4.4,0.18
5871,4.4,0.17
6043,4.4,0.16
6328,4.4,0.15
6423,4.4,0.14
7287,4.4,0.1
7631,4.4,0.09
8282,4.4,0.07
8336,4.4,0.06
8385,4.4,0.06
8759,4.4,0.05
264,4.5,4.28
946,4.5,1.84
1036,4.5,1.7
1097,4.5,1.62
1564,4.5,1.11
1728,4.5,1.0
1830,4.5,0.94
2530,4.5,0.63
3550,4.5,0.42
3603,4.5,0.41
3802,4.5,0.38
4323,4.5,0.3
4741,4.5,0.26
5447,4.5,0.2
5580,4.5,0.19
5652,4.5,0.19
5870,4.5,0.17
6821,4.5,0.12
7417,4.5,0.1
7617,4.5,0.09
7628,4.5,0.09
7778,4.5,0.08
8117,4.5,0.07
8299,4.5,0.07
8814,4.5,0.05
8824,4.5,0.05
8958,4.5,0.05
9062,4.5,0.04
9550,4.5,0.03
9569,4.5,0.03
9770,4.5,0.02
9793,4.5,0.02
10231,4.5,0.01
10256,4.5,0.01
418,4.6,3.25
916,4.6,1.88
1422,4.6,1.23
2104,4.6,0.8
2246,4.6,0.74
2547,4.6,0.63
2581,4.6,0.62
2648,4.6,0.6
2925,4.6,0.53
2935,4.6,0.53
3053,4.6,0.51
3153,4.6,0.49
3295,4.6,0.46
3362,4.6,0.45
3601,4.6,0.41
3650,4.6,0.4
3756,4.6,0.38
4147,4.6,0.32
4811,4.6,0.25
5606,4.6,0.19
5862,4.6,0.17
6343,4.6,0.15
7033,4.6,0.11
7214,4.6,0.11
7415,4.6,0.1
7476,4.6,0.1
7517,4.6,0.09
7643,4.6,0.09
8176,4.6,0.07
8195,4.6,0.07
8281,4.6,0.07
8565,4.6,0.06
8569,4.6,0.06
9258,4.6,0.04
9481,4.6,0.03
9537,4.6,0.03
9891,4.6,0.02
898,4.7,1.92
1540,4.7,1.13
2181,4.7,0.76
3360,4.7,0.45
3624,4.7,0.4
3831,4.7,0.37
3984,4.7,0.35
4536,4.7,0.28
4593,4.7,0.27
4900,4.7,0.25
5018,4.7,0.24
5364,4.7,0.21
5751,4.7,0.18
5884,4.7,0.17
6527,4.7,0.14
6774,4.7,0.12
7156,4.7,0.11
7175,4.7,0.11
7236,4.7,0.11
8411,4.7,0.06
8471,4.7,0.06
9620,4.7,0.03
9831,4.7,0.02
9927,4.7,0.02
35,4.8,13.67
255,4.8,4.36
959,4.8,1.82
1199,4.8,1.47
1824,4.8,0.94
1848,4.8,0.93
2255,4.8,0.73
2874,4.8,0.55
3043,4.8,0.51
3059,4.8,0.51
3585,4.8,0.41
3808,4.8,0.38
3924,4.8,0.36
3978,4.8,0.35
4200,4.8,0.32
4268,4.8,0.31
4500,4.8,0.28
4510,4.8,0.28
4938,4.8,0.24
5006,4.8,0.24
5222,4.8,0.22
5250,4.8,0.22
5340,4.8,0.21
5400,4.8,0.2
5452,4.8,0.2
5977,4.8,0.17
6025,4.8,0.16
6139,4.8,0.16
6766,4.8,0.13
6785,4.8,0.12
7215,4.8,0.11
7221,4.8,0.11
7455,4.8,0.1
7490,4.8,0.1
7493,4.8,0.1
7524,4.8,0.09
7855,4.8,0.08
8382,4.8,0.06
8440,4.8,0.06
8820,4.8,0.05
8849,4.8,0.05
8951,4.8,0.05
9008,4.8,0.04
9239,4.8,0.04
9299,4.8,0.03
9555,4.8,0.03
